Campaign,Ad group,Ad ID,Week,Ad strength,Clicks,CTR,Conv. rate,Impressions,Impression (Absolute Top) %,Impression (Top) %,Cost / conv.,Click conversion rate,Cross-device conv.,Engagements,Conversions,Cost
กล่อง  #1,กล่อง  #1,258466478637,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,228491207661,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,258466478637,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,258466695093,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,411425311125,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Excellent,28,10.98%,0%,255,0%,38.1%,฿0,0%,0,0,0,฿238.11
กล่อง  #1,กล่อง  #1,258466478637,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,258466695093,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,228491207661,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,411425311125,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Excellent,31,12.81%,3.23%,242,6.85%,47.95%,฿305.21,3.23%,0,0,1,฿305.21
กล่อง  #1,กล่อง  #1,258466478637,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,258466695093,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,228491207661,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,411425311125,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Excellent,81,14.75%,4.94%,549,3.77%,28.3%,฿151.29,4.94%,0,0,4,฿605.16
กล่อง  #1,กล่อง  #1,258466478637,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,228491207661,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,258466695093,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
กล่อง  #1,กล่อง  #1,411425311125,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Excellent,41,9.79%,4.88%,419,0%,42.86%,฿157.82,4.88%,0,0,2,฿315.64
กล่อง  #1,กล่อง  #1 - กลุ่มโฆษณาแบบไดนามิก,446348979784,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",null,0,0%,0%,0,0%,0%,฿0,0%,0,0,0,฿0
